Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.74242429934518,3.57616184684179,0.264668890885264,0,0,0,11149.8313730777,35962.6468672116,1127.84693730384,719.353702236722,122455.278031136,564.025490833455,156537.107222116,0,0,0,0,0,0,package://single_2101t/meshes/base_link.STL,0.666666666666667,0.666666666666667,0.666666666666667,1,0,0,0,0,0,0,package://single_2101t/meshes/base_link.STL,,单项赛场地-1,坐标系5,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_signal,-1.71598846243626E-13,3.5527136788005E-15,-0.0419091514118968,0,0,0,17.5139067248976,0.319631625159453,-6.59194920871187E-17,3.36153653943533E-15,0.319631625159453,3.25097711130738E-17,0.636396114556239,0,0,0,0,0,0,package://single_2101t/meshes/link_signal.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://single_2101t/meshes/link_signal.STL,,新新新大符-1/新新大符-1,Origin_joint_12,基准轴-大符,joint_signal,revolute,1.9709,1.997,2.239,1.5708,0,-1.5708,base_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
1,1.21568033417674E-12,-0.0739499459008499,0.0786769806763417,0,0,0,0.048250466189271,6.46853859674442E-05,5.43740644817718E-17,8.12405291657431E-18,7.21923880425893E-05,-1.6153406895818E-05,0.000128149430960387,0,0,0,0,0,0,package://single_2101t/meshes/1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single_2101t/meshes/1.STL,,新新新大符-1/小装甲(1)-2,Origin_jt_17,,jt_1,fixed,-0.0025886,0.64536,-0.11182,-0.24436,0,3.1416,link_signal,0,0,0,100,1,-3.14,3.14,,,,,,,,
2,1.2170264795941E-12,0.0739499459008535,-0.0786769806763381,0,0,0,0.0482504661892654,6.4685385967436E-05,-5.7120513831041E-17,-1.07556243642351E-17,7.21923880425854E-05,-1.61534068958188E-05,0.000128149430960373,0,0,0,0,0,0,package://single_2101t/meshes/2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single_2101t/meshes/2.STL,,新新新大符-1/小装甲(1)-3,Origin_jt_27,Axis_jt_2,jt_2,fixed,0.71731679647069,0.235177895494604,-0.106323395663714,2.95527009684331,0.0134785788358752,-1.26009049831673,link_signal,-0.368521763663799,0.81478084291578,-0.447575566495283,100,1,-3.14,3.14,,,,,,,,
3,1.21758159110641E-12,0.0739499459008484,-0.0786769806763421,0,0,0,0.0482504661892763,6.46853859674518E-05,-5.38035328095932E-17,-1.04345988772257E-17,7.21923880425932E-05,-1.61534068958195E-05,0.000128149430960398,0,0,0,0,0,0,package://single_2101t/meshes/3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single_2101t/meshes/3.STL,,新新新大符-1/小装甲(1)-4,Origin_jt_37,Axis_jt_3,jt_3,fixed,0.443550111098946,-0.609552645708592,-0.112281542447151,2.8887092413026,-0.00098754001236071,-2.47349136163387,link_signal,0.110267831426141,0.75456830476797,-0.646890778101037,100,1,-3.14,3.14,,,,,,,,
4,1.21813670261872E-12,0.0739499459008488,-0.0786769806763421,0,0,0,0.0482504661892674,6.46853859674408E-05,-5.45963556482232E-17,-1.04989733812171E-17,7.21923880425853E-05,-1.61534068958162E-05,0.000128149430960382,0,0,0,0,0,0,package://single_2101t/meshes/4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single_2101t/meshes/4.STL,,新新新大符-1/小装甲(1)-5,Origin_jt_47,Axis_jt_4,jt_4,fixed,-0.438373532109027,-0.60883447581268,-0.11453715706636,2.8698248558501,0.00249506299585105,2.50627405863163,link_signal,0.934861599819828,-0.329335063075785,-0.132560195425246,100,1,-3.14,3.14,,,,,,,,
5,1.2161383011744E-12,0.0739499459008499,-0.0786769806763403,0,0,0,0.0482504661892636,6.46853859674336E-05,-5.49063697069183E-17,-8.50082265864416E-18,7.21923880425808E-05,-1.61534068958156E-05,0.000128149430960369,0,0,0,0,0,0,package://single_2101t/meshes/5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single_2101t/meshes/5.STL,,新新新大符-1/小装甲(1)-6,Origin_jt_57,Axis_jt_5,jt_5,fixed,-0.706761356141555,0.228665984217599,-0.119104105067502,2.8253399999021,-0.0141477446809957,1.30292235841985,link_signal,0,0,0,100,1,-3.14,3.14,,,,,,,,
link_body,-0.00241317566097571,0.232451072122631,-0.0102363509660908,0,0,0,15.4805778908806,0.166590587683924,-7.79834081852165E-19,-4.24469509218448E-17,0.246346179703462,2.82893805291715E-17,0.166590587683924,0,0,0,0,0,0,package://single_2101t/meshes/link_body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single_2101t/meshes/link_body.STL,,装配体1-1/装配体2^装配体1-1/柱体-1;装配体1-1/零件1-1,Origin_joint_spinning2,基准轴-陀螺,joint_body,revolute,-2.5265,-1.6611,-0.0088161,1.5708,0,3.1416,base_link,0,-1,0,100,1,-3.14,3.14,,,,,,,,
link_twinkle,1.74207662531067E-05,0.144085474466383,-0.0251371770621405,0,0,0,0.246053272410611,0.000234418150086636,-8.01318192430068E-08,5.95858213073514E-08,0.000458101383474959,6.65798752198305E-06,0.000599407609719636,0,0,0,0,0,0,package://single_2101t/meshes/link_twinkle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single_2101t/meshes/link_twinkle.STL,,装配体1-1/主控模块-1,Origin_joint_twinkle7,Axis_joint_twinkle,joint_twinkle,fixed,-0.13609700747485,0.310895064916623,-0.067100273989678,0,1.17809724509618,0,link_body,0,0,0,100,1,-3.14,3.14,,,,,,,,
link_shield,0.063116087282352,0.0646408367320647,-0.0448980198801134,0,0,0,0.42384267969433,0.000822120470959803,4.35788395946006E-13,8.05549528991312E-13,0.000583837517307971,3.15499591266956E-13,0.000822120458784991,0,0,0,0,0,0,package://single_2101t/meshes/link_shield.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single_2101t/meshes/link_shield.STL,,装配体1-1/装甲板-3;装配体1-1/装甲板-5;装配体1-1/装甲板-1;装配体1-1/装甲板-7,Origin_joint_shield7,Axis_joint_shield,joint_shield,fixed,0.0731169198036217,0.181812877626046,-0.0274009819282082,3.14159265358979,0.394849912112585,3.14159265358979,link_body,0,0,0,100,1,-3.14,3.14,,,,,,,,
